repo,with_lock_TP,with_lock_FP,with_lock_FN,with_lock_Precision,with_lock_Recall,with_lock_F1,no_lock_TP,no_lock_FP,no_lock_FN,no_lock_Precision,no_lock_Recall,no_lock_F1
ava,154,12,631,0.927710843373494,0.1961783439490446,0.32386961093585703,0,0,785,0,0.0,0
axios,22,1,1653,0.9565217391304348,0.013134328358208954,0.02591283863368669,0,0,1675,0,0.0,0
commander.js,0,1,414,0.0,0.0,0,0,0,414,0,0.0,0
hackathon-starter,421,117,322,0.7825278810408922,0.566621803499327,0.6572989851678376,0,0,743,0,0.0,0
jsdom,39,10,184,0.7959183673469388,0.17488789237668162,0.2867647058823529,0,0,223,0,0.0,0
koa,36,1,335,0.972972972972973,0.09703504043126684,0.17647058823529413,0,0,371,0,0.0,0
mocha,155,502,1058,0.2359208523592085,0.12778235779060182,0.1657754010695187,106,498,1107,0.17549668874172186,0.08738664468260511,0.11667583929554211
nodemon,32,3,691,0.9142857142857143,0.04426002766251729,0.08443271767810027,0,1,723,0.0,0.0,0
parse-server,475,167,1021,0.7398753894080997,0.3175133689839572,0.4443405051449953,0,0,1496,0,0.0,0
pm2,122,8,56,0.9384615384615385,0.6853932584269663,0.7922077922077922,0,0,178,0,0.0,0
